Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:40:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:36        0     12881    0.00    0.20    0.00    0.00    0.20    27  ldlm_bl_22
11:40:36        0     12882    0.00    0.20    0.00    0.00    0.20    27  ldlm_bl_23
11:40:36        0     12883    0.00    0.20    0.00    0.00    0.20    15  ldlm_bl_24
11:40:36        0     12884    0.00    0.20    0.00    0.00    0.20    31  ldlm_bl_25
11:40:36        0     12885    0.00    0.20    0.00    0.00    0.20    33  ldlm_bl_26
11:40:36        0     12886    0.00    0.20    0.00    0.00    0.20    46  ldlm_bl_27
11:40:36        0     12887    0.00    0.20    0.00    0.00    0.20    43  ldlm_bl_28
11:40:36    30910    121285    0.20    1.38    0.00    0.00    1.57    15  pidstat
11:40:36    30910    121579    0.59    1.18    0.00    0.00    1.77     3  pidstat
11:40:36    30910    122103    0.59    0.98    0.00    0.00    1.57    12  pidstat
11:40:36    30910    122905    0.59    0.98    0.00    0.00    1.57     4  pidstat
11:40:36    30910    122906    8.86    4.92    0.00    0.00   13.78     9  python
11:40:36    30910    122907  127.17   19.88    0.00    0.00  147.05     1  java

11:40:31      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:40:36        0      1424      7.48      0.00  728064   29632   0.09  node_exporter
11:40:36    30910    122905     40.94      0.00   23424   17792   0.05  pidstat
11:40:36    30910    122906    102.76      0.00   57856   37824   0.11  python
11:40:36    30910    122907    728.94      0.00 5040512  140032   0.43  java

11:40:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:41        0        11    0.00    0.20    0.00    0.00    0.20    18  rcu_sched
11:40:41        0      1450    0.00    0.20    0.00    0.00    0.20     1  NetworkManager
11:40:41        0      2652    0.00    0.20    0.00    0.00    0.20     2  kiblnd_sd_00_00
11:40:41        0      2656    0.00    0.20    0.00    0.00    0.20    22  kiblnd_sd_01_00
11:40:41        0      2657    0.00    0.20    0.00    0.00    0.20    21  kiblnd_sd_01_01
11:40:41        0      2658    0.00    0.20    0.00    0.00    0.20    12  kiblnd_sd_01_02
11:40:41        0      2659    0.00    0.20    0.00    0.00    0.20    23  kiblnd_sd_01_03
11:40:41        0     12883    0.00    0.20    0.00    0.00    0.20    15  ldlm_bl_24
11:40:41        0     55152    0.00    0.20    0.00    0.00    0.20     7  kworker/7:0-mm_percpu_wq
11:40:41      901     70391    0.20    0.00    0.00    0.00    0.20    20  icinga2
11:40:41        0    114592    0.00    0.20    0.00    0.00    0.20    27  kworker/u96:1-ipoib_wq
11:40:41    30910    121285    0.20    1.60    0.00    0.00    1.80    15  pidstat
11:40:41    30910    121579    0.00    1.60    0.00    0.00    1.60     3  pidstat
11:40:41    30910    122103    0.40    1.40    0.00    0.00    1.80    13  pidstat
11:40:41    30910    122905    0.60    1.20    0.00    0.00    1.80     4  pidstat
11:40:41    30910    122906    0.80    0.40    0.00    0.00    1.20     8  python
11:40:41    30910    122907  271.60    9.60    0.00    0.00  281.20     1  java

11:40:36      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:40:41    30910    122905      2.80      0.00   23424   22016   0.07  pidstat
11:40:41    30910    122906     42.60      0.00  132736   38400   0.12  python
11:40:41    30910    122907    667.60      0.00 12239488  292864   0.89  java

11:40:41      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:46        0      1450    0.20    0.00    0.00    0.00    0.20     1  NetworkManager
11:40:46      201      1723    0.20    0.00    0.00    0.00    0.20    29  telegraf
11:40:46        0      2661    0.00    0.20    0.00    0.00    0.20    25  kiblnd_sd_02_01
11:40:46        0      2671    0.00    0.20    0.00    0.00    0.20     2  ptlrpcd_00_00
11:40:46        0      2676    0.00    0.20    0.00    0.00    0.20    11  ptlrpcd_00_05
11:40:46        0    115120    0.20    0.00    0.00    0.00    0.20     0  kworker/0:2-events
11:40:46    30910    121285    0.20    1.40    0.00    0.00    1.60    15  pidstat
11:40:46    30910    121579    0.60    1.00    0.00    0.00    1.60     3  pidstat
11:40:46    30910    122103    0.00    1.60    0.00    0.00    1.60    13  pidstat
11:40:46    30910    122905    0.60    1.20    0.00    0.00    1.80     4  pidstat
11:40:46    30910    122906    0.00    0.20    0.00    0.00    0.20    37  python
11:40:46    30910    122907  254.80    7.60    0.00    0.00  262.40     1  java

11:40:41      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:40:46        0    116624      0.20      0.00  374144   15552   0.05  slurmstepd
11:40:46    30910    122906      6.80      0.00  207232   39104   0.12  python
11:40:46    30910    122907    240.40      0.00 13484160  356800   1.08  java

11:40:46      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:51        0        11    0.00    0.20    0.00    0.00    0.20    10  rcu_sched
11:40:51        0      1424    5.20    1.00    0.00    0.00    6.20    35  node_exporter
11:40:51        0      1450    0.00    0.20    0.00    0.00    0.20     0  NetworkManager
11:40:51      201      1723    0.00    0.20    0.00    0.00    0.20    29  telegraf
11:40:51        0      2656    0.00    0.20    0.00    0.00    0.20    22  kiblnd_sd_01_00
11:40:51        0      2657    0.00    0.20    0.00    0.00    0.20    20  kiblnd_sd_01_01
11:40:51        0      2672    0.00    0.20    0.00    0.00    0.20     3  ptlrpcd_00_01
11:40:51        0     12875    0.00    0.20    0.00    0.00    0.20     2  ldlm_bl_16
11:40:51    30910    121285    0.40    1.20    0.00    0.00    1.60    15  pidstat
11:40:51    30910    121579    0.20    1.40    0.00    0.00    1.60     3  pidstat
11:40:51    30910    122103    0.60    1.00    0.00    0.00    1.60    13  pidstat
11:40:51    30910    122905    0.40    1.20    0.00    0.00    1.60     4  pidstat
11:40:51    30910    122906    0.00    0.20    0.00    0.00    0.20    37  python
11:40:51    30910    122907  188.60    8.80    0.00    0.00  197.40     1  java

11:40:46      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:40:51        0      1424      4.40      0.00  728064   31488   0.10  node_exporter
11:40:51    30910    122906      0.80      0.00  207232   39104   0.12  python
11:40:51    30910    122907    186.40      0.00 13516928  404736   1.23  java

11:40:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:40:56        0      1069    0.20    0.00    0.00    0.00    0.20    42  kworker/u100:1-flush-lustre-ffff807f84
11:40:56        0      1450    0.20    0.00    0.00    0.00    0.20     0  NetworkManager
11:40:56      201      1723    1.20    0.00    0.00    0.00    1.20    29  telegraf
11:40:56        0      2651    0.00    0.20    0.00    0.00    0.20    47  kiblnd_connd
11:40:56        0      2654    0.00    0.20    0.00    0.00    0.20     6  kiblnd_sd_00_02
11:40:56        0      2655    0.00    0.20    0.00    0.00    0.20     8  kiblnd_sd_00_03
11:40:56        0      2656    0.00    1.20    0.00    0.00    1.20    13  kiblnd_sd_01_00
11:40:56        0      2657    0.00    1.20    0.00    0.00    1.20    20  kiblnd_sd_01_01
11:40:56        0      2658    0.00    1.40    0.00    0.00    1.40    12  kiblnd_sd_01_02
11:40:56        0      2659    0.00    1.20    0.00    0.00    1.20    21  kiblnd_sd_01_03
11:40:56        0      2660    0.00    0.40    0.00    0.00    0.40    30  kiblnd_sd_02_00
11:40:56        0      2661    0.00    0.20    0.00    0.00    0.20    30  kiblnd_sd_02_01
