Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:37:29      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:37:34        0      1424    3.94    2.17    0.00    0.00    6.10    33  node_exporter
11:37:34        0      1450    0.00    0.20    0.00    0.00    0.20     2  NetworkManager
11:37:34      201      1723    0.20    0.00    0.00    0.00    0.20    29  telegraf
11:37:34        0      2652    0.00    0.20    0.00    0.00    0.20    11  kiblnd_sd_00_00
11:37:34        0      2655    0.00    0.20    0.00    0.00    0.20     5  kiblnd_sd_00_03
11:37:34        0      2656    0.00    3.54    0.00    0.00    3.54    21  kiblnd_sd_01_00
11:37:34        0      2657    0.00    3.54    0.00    0.00    3.54    12  kiblnd_sd_01_01
11:37:34        0      2658    0.00    3.54    0.00    0.00    3.54    23  kiblnd_sd_01_02
11:37:34        0      2659    0.00    3.54    0.00    0.00    3.54    20  kiblnd_sd_01_03
11:37:34        0      2660    0.00    0.20    0.00    0.00    0.20    32  kiblnd_sd_02_00
11:37:34        0      2661    0.00    0.20    0.00    0.00    0.20    32  kiblnd_sd_02_01
11:37:34        0      2662    0.00    0.20    0.00    0.00    0.20    31  kiblnd_sd_02_02
11:37:34        0      2663    0.00    0.20    0.00    0.00    0.20    31  kiblnd_sd_02_03
11:37:34        0      2671    0.00    0.20    0.00    0.00    0.20     0  ptlrpcd_00_00
11:37:34        0      2672    0.00    0.20    0.00    0.00    0.20     9  ptlrpcd_00_01
11:37:34        0      2673    0.00    0.20    0.00    0.00    0.20     9  ptlrpcd_00_02
11:37:34        0      2674    0.00    0.20    0.00    0.00    0.20     1  ptlrpcd_00_03
11:37:34        0      2675    0.00    0.20    0.00    0.00    0.20     2  ptlrpcd_00_04
11:37:34        0      2676    0.00    0.20    0.00    0.00    0.20    10  ptlrpcd_00_05
11:37:34        0      2677    0.00    0.20    0.00    0.00    0.20     0  ptlrpcd_00_06
11:37:34        0      2678    0.00    0.20    0.00    0.00    0.20     4  ptlrpcd_00_07
11:37:34        0      2679    0.00    0.20    0.00    0.00    0.20     9  ptlrpcd_00_08
11:37:34        0      2680    0.00    0.20    0.00    0.00    0.20     6  ptlrpcd_00_09
11:37:34        0      2681    0.00    0.20    0.00    0.00    0.20     1  ptlrpcd_00_10
11:37:34        0      2682    0.00    0.20    0.00    0.00    0.20     8  ptlrpcd_00_11
11:37:34        0      2684    0.00    0.20    0.00    0.00    0.20    15  ptlrpcd_01_01
11:37:34        0      2685    0.00    0.20    0.00    0.00    0.20    13  ptlrpcd_01_02
11:37:34        0      2689    0.00    0.20    0.00    0.00    0.20    23  ptlrpcd_01_06
11:37:34        0      2690    0.00    0.20    0.00    0.00    0.20    18  ptlrpcd_01_07
11:37:34        0      2695    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_00
11:37:34        0      2696    0.00    0.20    0.00    0.00    0.20    25  ptlrpcd_02_01
11:37:34        0      2697    0.00    0.20    0.00    0.00    0.20    33  ptlrpcd_02_02
11:37:34        0      2698    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_03
11:37:34        0      2699    0.00    0.39    0.00    0.00    0.39    28  ptlrpcd_02_04
11:37:34        0      2700    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_05
11:37:34        0      2701    0.00    0.39    0.00    0.00    0.39    30  ptlrpcd_02_06
11:37:34        0      2702    0.00    0.20    0.00    0.00    0.20    29  ptlrpcd_02_07
11:37:34        0      2703    0.00    0.20    0.00    0.00    0.20    32  ptlrpcd_02_08
11:37:34        0      2704    0.00    0.20    0.00    0.00    0.20    31  ptlrpcd_02_09
11:37:34        0      2705    0.00    0.20    0.00    0.00    0.20    35  ptlrpcd_02_10
11:37:34        0      2706    0.00    0.20    0.00    0.00    0.20    33  ptlrpcd_02_11
11:37:34        0      2707    0.00    0.39    0.00    0.00    0.39    45  ptlrpcd_03_00
11:37:34        0      2708    0.00    0.39    0.00    0.00    0.39    42  ptlrpcd_03_01
11:37:34        0      2709    0.00    0.20    0.00    0.00    0.20    38  ptlrpcd_03_02
11:37:34        0      2710    0.00    0.20    0.00    0.00    0.20    44  ptlrpcd_03_03
11:37:34        0      2711    0.00    0.39    0.00    0.00    0.39    43  ptlrpcd_03_04
11:37:34        0      2712    0.00    0.20    0.00    0.00    0.20    44  ptlrpcd_03_05
