Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:48:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:48:56        0     12874    0.00    0.20    0.00    0.00    0.20     9  ldlm_bl_15
11:48:56        0     12875    0.00    0.20    0.00    0.00    0.20    35  ldlm_bl_16
11:48:56        0     12876    0.00    0.20    0.00    0.00    0.20    17  ldlm_bl_17
11:48:56        0     12877    0.00    0.20    0.00    0.00    0.20    38  ldlm_bl_18
11:48:56        0     12878    0.00    0.20    0.00    0.00    0.20    13  ldlm_bl_19
11:48:56        0     12879    0.00    0.20    0.00    0.00    0.20    20  ldlm_bl_20
11:48:56        0     12880    0.00    0.20    0.00    0.00    0.20    38  ldlm_bl_21
11:48:56        0     12881    0.00    0.20    0.00    0.00    0.20    36  ldlm_bl_22
11:48:56        0     12882    0.00    0.20    0.00    0.00    0.20     9  ldlm_bl_23
11:48:56        0     12883    0.00    0.20    0.00    0.00    0.20    33  ldlm_bl_24
11:48:56        0     12884    0.00    0.20    0.00    0.00    0.20    39  ldlm_bl_25
11:48:56        0     12885    0.00    0.20    0.00    0.00    0.20    42  ldlm_bl_26
11:48:56        0     12886    0.00    0.20    0.00    0.00    0.20    26  ldlm_bl_27
11:48:56        0     12887    0.00    0.20    0.00    0.00    0.20    40  ldlm_bl_28
11:48:56        0    114592    0.00    0.20    0.00    0.00    0.20    36  kworker/u96:1-ipoib_wq
11:48:56    30910    121285    0.79    0.98    0.00    0.00    1.77    15  pidstat
11:48:56    30910    121579    0.59    0.98    0.00    0.00    1.57    47  pidstat
11:48:56    30910    122103    0.59    0.98    0.00    0.00    1.57    16  pidstat
11:48:56    30910    124653    0.20    1.38    0.00    0.00    1.57     4  pidstat
11:48:56    30910    124654    7.87    5.31    0.00    0.00   13.19     8  python
11:48:56    30910    124655  114.57   18.50    0.00    0.00  133.07    24  java

11:48:51      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:48:56        0      1642      0.79      0.00  116928   51520   0.16  sssd_nss
11:48:56    30910    124653     40.55      0.00   23232   17792   0.05  pidstat
11:48:56    30910    124654    101.97      0.00   45504   37312   0.11  python
11:48:56    30910    124655    659.25      0.00 4981120  134912   0.41  java

11:48:56      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:01        0        11    0.00    0.20    0.00    0.00    0.20     3  rcu_sched
